Proteins Unique Sequence ID	Accession	Abundances Normalized F4 Sample BR1 Uninfected Female	Abundances Normalized F5 Sample BR2 Uninfected Female	Abundances Normalized F6 Sample BR3 Uninfected Female	Abundances Normalized F1 Sample BR1 Uninfected Male	Abundances Normalized F2 Sample BR2 Uninfected Male	Abundances Normalized F3 Sample BR3 Uninfected Male	Found in Sample F4 Sample BR1 Uninfected Female	Found in Sample F5 Sample BR2 Uninfected Female	Found in Sample F6 Sample BR3 Uninfected Female	Found in Sample F1 Sample BR1 Uninfected Male	Found in Sample F2 Sample BR2 Uninfected Male	Found in Sample F3 Sample BR3 Uninfected Male	Abundance Ratio Adj P-Value Uninfected Female  Uninfected Male	Abundance Ratio P-Value Uninfected Female  Uninfected Male	Abundance Ratio Uninfected Female  Uninfected Male	Abundance Ratio log2 Uninfected Female  Uninfected Male	Abundances Grouped Uninfected Female	Abundances Grouped Uninfected Male	Abundances Grouped Count Uninfected Female	Abundances Grouped Count Uninfected Male
-9543715199	P51681		 1823550.53024366	 6495367.09766835	 4964155.48957884	 9492545.05336285	 1326006.27606735	Peak Found	 High	 High	 Peak Found	 High	 Peak Found	0.9623767049051821	0.6264147842302918	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
-9054556985	P51681			 2660104.41584513	 1488730.88415712	 7434263.17116246	 2128325.40040836	High	 High	 High	 High	 Peak Found	 Peak Found	0.2858426512684673	0.20982562890276313	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
-7876039033	P51681					 8540013.39292154	 7525616.46979302	High	 Peak Found	 High	 High	 High	 High	0.47577102784998715	0.7237630898598582	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
-289427377	P51681	3222223.196644336					 6336589.42533657	High	 Peak Found	 High	 High	 High	 High	0.9232070436701179	0.08928381372243166	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
-8135515936	P51681	8982475.427910686	 6044105.36354408					High	 Peak Found	 High	 Peak Found	 High	 Peak Found	0.8054060607682914	0.1585041880607605	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
-765598281	P51681	8898668.747860938	 5777682.78773874	 262466.499116272	 1346373.86305258			Peak Found	 Peak Found	 Peak Found	 High	 Peak Found	 Peak Found	0.8708846250083297	0.8675304565113038	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
-779985765	P51681	8337225.4204005	 928426.296450198	 1408857.3330082	 4717524.6081315	 8063735.76866463		High	 Peak Found	 High	 Peak Found	 Peak Found	 High	0.09376957197673619	0.8367678502108902	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
-1123789907	P51681	6870003.808289766	 1693799.78207871	 9560941.22491777	 5614488.11786249	 8013405.51348403	 6422458.92202482	High	 High	 Peak Found	 High	 Peak Found	 High	0.6424467749893665	0.6975887177977711	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
-7443629054	P51681	7298297.269735485	 6101068.00217181	 849990.672431886	 8989709.9765949	 2956540.49376026	 7748656.88756108	High	 High	 Peak Found	 High	 High	 High	0.9013604100327939	0.17418556893244386	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
-9820271337	P51681	3126615.8469952643	 7030058.87335166	 5640006.27957284	 1488414.47662562	 4798072.61843234	 6003622.8178069	Peak Found	 High	 High	 High	 Peak Found	 Peak Found	0.6873372457921505	0.08153581153601408	1.0376587801887642	0.05333211126827152	5033759.943752861	 4851074.39927136	3	 3
