Proteins Unique Sequence ID	Accession	Abundances Normalized F7 Sample	Abundances Normalized F8 Sample	Found in Sample F7 Sample	Found in Sample F8 Sample	Abundance Ratio F7  F8	Abundance Ratio log2 F7  F8	Abundances Grouped F7	Abundances Grouped F8
-9543715199	P51681		 1823550.53024366	Peak Found	 High	3.3125294454453713	1.7279332788980535	6040564.826689661	 6040564.82668966
-9054556985	P51681		 3436083.36523175	High	 Peak Found	1.366483643182203	0.4504681908957679	4695351.715199649	 4695351.71519965
-7876039033	P51681			High	 High	1.1386116377719104	0.18727575073140149	9647135.329432786	 9647135.32943279
-289427377	P51681	3222223.196644336		High	 High	1.627882155095674	0.7029962644612151	3222223.196644336	 3222223.19664434
-8135515936	P51681	8982475.427910686		High	 Peak Found	1.486154672631921	0.57158427322955	8982475.427910686	 8982475.42791069
-765598281	P51681	8898668.747860938	 5777682.78773874	Peak Found	 High	1.5401795278109556	0.623098525457097	8898668.747860938	 8898668.74786094
-779985765	P51681	8337225.4204005	 928426.296450198	High	 Peak Found	8.979953984799398	3.1667080523080924	8337225.4204005	 8337225.4204005
-1123789907	P51681	6870003.808289766	 1693799.78207871	Peak Found	 High	4.055971597692949	2.020047549774439	6870003.808289766	 6870003.80828977
-7443629054	P51681	7298297.269735485	 6101068.00217181	Peak Found	 Peak Found	1.1962327361598806	0.25849810411673524	7298297.269735485	 7298297.26973549
-9820271337	P51681	3126615.8469952643	 7030058.87335166	Peak Found	 Peak Found	0.4447495964574495	-1.1689347984204483	3126615.8469952643	 3126615.84699526
