"Proteins Unique Sequence ID"	"Accession"	"Abundances Normalized F7 Sample"	"Abundances Normalized F8 Sample"	"Found in Sample F7 Sample"	"Found in Sample F8 Sample"	"Abundance Ratio F7  F8"	"Abundance Ratio log2 F7  F8"	"Abundances Grouped F7"	"Abundances Grouped F8"
"-9172530353660484597"	"RSAN_029658.P29584"	"1801680.5546933284"	" 1922145.4322916667"	"High"	" High"	"0.942"	"-0.09"	"1801680.5546933284"	" 1922145.4322916667"
"-9141143347758982679"	"RSAN_049466.P55471"	"8511005.499149831"	" 3341274.2708333335"	"High"	" Peak Found"	"1.066"	"0.09"	"8511005.499149831"	" 3341274.2708333335"
"-9084779157596847030"	"RSAN_049127.P54996"	"124350.46663091161"	" 103868.47395833333"	"High"	" High"	"0.958"	"-0.06"	"124350.46663091161"	" 103868.47395833333"
"-9070278590104798733"	"RSAN_050041.P56202"	"999383.9001694964"	" 1192227.3177083333"	"High"	" High"	"0.838"	"-0.25"	"999383.9001694964"	" 1192227.3177083333"
"-9047328423928658689"	"RSAN_041029.P44383"	"241486.54714971516"	" 281177.75"	"High"	" Peak Found"	"0.859"	"-0.22"	"241486.54714971516"	" 281177.75"
"-8920152782888633368"	"RSAN_048071.P53580"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-8889296002030290663"	"RSAN_026524.P67823"	"856736.7982796291"	" 165029.78255208334"	"High"	" High"	"1.025"	"0.04"	"856736.7982796291"	" 165029.78255208334"
"-8885301945783119867"	"RSAN_037860.P40352"	"4327974.028624696"	" 3441048.6803385415"	"High"	" Peak Found"	"0.938"	"-0.09"	"4327974.028624696"	" 3441048.6803385415"
"-8841542805290732868"	"P69905"	"272073.6205563505"	" 229895.8203125"	"High"	" High"	"1.183"	"0.24"	"272073.6205563505"	" 229895.8203125"
"-8817083460621041623"	"RSAN_033721.P34852"	"319570.7049772195"	" 246622.90625"	"High"	" Peak Found"	"1.296"	"0.37"	"319570.7049772195"	" 246622.90625"
"-8786630520941189525"	"RSAN_048922.P54691"	"184821.2336231341"	" 162468.53385416666"	"High"	" Peak Found"	"1.095"	"0.13"	"184821.2336231341"	" 162468.53385416666"
"-8785478109451577909"	"RSAN_052590.P59574"	"3832254.390939854"	" 4235489.192708333"	"High"	" High"	"0.906"	"-0.14"	"3832254.390939854"	" 4235489.192708333"
"-8767226132627553970"	"RSAN_035111.P36625"	"94032.33150929515"	" 88025.38932291667"	"High"	" High"	"1.237"	"0.31"	"94032.33150929515"	" 88025.38932291667"
"-8766953283536927681"	"RSAN_048257.P53808"	"550931.5342810837"	" 716172.0260416666"	"High"	" High"	"0.767"	"-0.38"	"550931.5342810837"	" 716172.0260416666"
"-8763815005174914652"	"RSAN_032023.P32613"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-8758375580236941953"	"RSAN_037890.P40417"	"270099.4267537217"	" 176816.85286458334"	"High"	" High"	"0.942"	"-0.09"	"270099.4267537217"	" 176816.85286458334"
"-8729625236399966569"	"RSAN_026524.P67801"	"856736.7982796291"	" 165029.78255208334"	"High"	" High"	"1.025"	"0.04"	"856736.7982796291"	" 165029.78255208334"
"-8709065964621421562"	"RSAN_048071.P53573"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-8707766419945293287"	"RSAN_052988.P60086"	"1685632.420683785"	" 1230786.4388020833"	"High"	" High"	"1.499"	"0.58"	"1685632.420683785"	" 1230786.4388020833"
"-8604621326220371297"	"RSAN_050657.P56998"	"157541.94858355206"	" 153292.513671875"	"High"	" High"	"1.118"	"0.16"	"157541.94858355206"	" 153292.513671875"
"-8569258560286298073"	"RSAN_047069.P52236"	"7057827.966523971"	" 5255532"	"Peak Found"	" High"	"1.343"	"0.43"	"7057827.966523971"	" 5255532"
"-8437476175578541281"	"RSAN_028864.P28552"	"301971.17439856677"	" 214629.21875"	"High"	" High"	"1.407"	"0.49"	"301971.17439856677"	" 214629.21875"
"-8366390683073588458"	"RSAN_031361.P31691"	"228984.13858909233"	" 94778.84375"	"High"	" High"	"1.267"	"0.34"	"228984.13858909233"	" 94778.84375"
"-8345592560216363278"	"RSAN_028162.P27689"	"43053.37450106915"	" 54756.470052083336"	"Peak Found"	" High"	"0.876"	"-0.19"	"43053.37450106915"	" 54756.470052083336"
"-8341223984448542212"	"RSAN_048071.P53555"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-8285903255640747979"	"RSAN_025920.P68422"	"59397.12031551058"	" 56652.061848958336"	"Peak Found"	" High"	"1.069"	"0.10"	"59397.12031551058"	" 56652.061848958336"
"-8223739987662653063"	"RSAN_032023.P32630"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-8156695543806704183"	"RSAN_040995.P44329"	"95327.57745110341"	" 83160.72916666667"	"High"	" High"	"1.246"	"0.32"	"95327.57745110341"	" 83160.72916666667"
"-8095352452058598000"	"RSAN_031839.P32336"	""	" "	"n/a"	" High"	""	""	""	" "
"-8067530798333732668"	"RSAN_027361.P26594"	"20550412.39033208"	" 6339712.036458333"	"High"	" High"	"1.088"	"0.12"	"20550412.39033208"	" 6339712.036458333"
"-8049765777817250588"	"RSAN_051929.P58663"	"126632.49583856111"	" 119859.73697916667"	"High"	" High"	"1.045"	"0.06"	"126632.49583856111"	" 119859.73697916667"
"-8039561941839047900"	"RSAN_056853.P65241"	"1405394.5252218964"	" 783445.5537109375"	"High"	" High"	"0.988"	"-0.02"	"1405394.5252218964"	" 783445.5537109375"
"-8028982028418903146"	"RSAN_029433.P29295"	"141519.29547264165"	" 167380.51302083334"	"High"	" High"	"0.939"	"-0.09"	"141519.29547264165"	" 167380.51302083334"
"-8024519569851645236"	"RSAN_035969.P37864"	"351463.59311172244"	" 399672.8020833333"	"High"	" High"	"1.081"	"0.11"	"351463.59311172244"	" 399672.8020833333"
"-8021420352036588674"	"RSAN_056704.P65038"	"623120.5078533561"	" 836418.3268229166"	"High"	" High"	"0.960"	"-0.06"	"623120.5078533561"	" 836418.3268229166"
"-7986903368222848748"	"RSAN_042544.P46363"	"86051.10277535877"	" 100706.849609375"	"High"	" High"	"0.946"	"-0.08"	"86051.10277535877"	" 100706.849609375"
"-7976313540330207599"	"RSAN_035619.P37330"	"236928.36514479233"	" 264245.90234375"	"High"	" High"	"0.976"	"-0.03"	"236928.36514479233"	" 264245.90234375"
"-7960966267281072388"	"RSAN_040785.P44045"	"6355864.358917667"	" 4756321.9375"	"Peak Found"	" High"	"1.433"	"0.52"	"6355864.358917667"	" 4756321.9375"
"-7911927049365682276"	"RSAN_038271.P40884"	"92894.37302787126"	" 137674.09635416666"	"Medium"	" High"	"0.760"	"-0.40"	"92894.37302787126"	" 137674.09635416666"
"-7904599243209267118"	"RSAN_036384.P38378"	"79151.123339254"	" 87871.08723958333"	"Peak Found"	" High"	"0.847"	"-0.24"	"79151.123339254"	" 87871.08723958333"
"-7865880984184077587"	"RSAN_046837.P51942"	"72059.20774621824"	" 72078.77604166667"	"High"	" High"	"1.139"	"0.19"	"72059.20774621824"	" 72078.77604166667"
"-7836860082114557812"	"RSAN_035850.P37704"	"217816.6987538972"	" 116236.79166666667"	"High"	" High"	"0.851"	"-0.23"	"217816.6987538972"	" 116236.79166666667"
"-7790963826873039351"	"RSAN_032023.P32631"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-7773217012172706828"	"RSAN_033379.P34428"	"85391.12329619858"	" 154968.30078125"	"Peak Found"	" High"	"0.551"	"-0.86"	"85391.12329619858"	" 154968.30078125"
"-7720209625579157995"	"RSAN_029509.P29402"	"67784.35284381053"	" 83205.80859375"	"Peak Found"	" High"	"0.782"	"-0.35"	"67784.35284381053"	" 83205.80859375"
"-7713785017004630761"	"P02662"	"150022.075199291"	" 184715.70963541666"	"High"	" High"	"0.911"	"-0.14"	"150022.075199291"	" 184715.70963541666"
"-7652038890532416458"	"RSAN_033379.P34427"	"85391.12329619858"	" 154968.30078125"	"Peak Found"	" High"	"0.551"	"-0.86"	"85391.12329619858"	" 154968.30078125"
"-7625852626807469458"	"RSAN_048840.P54588"	"3826300.585054029"	" 5467624.3984375"	"High"	" High"	"0.898"	"-0.15"	"3826300.585054029"	" 5467624.3984375"
"-7619643620208119493"	"RSAN_038222.P40825"	"124656.61569822574"	" 203070.89453125"	"Peak Found"	" High"	"0.893"	"-0.16"	"124656.61569822574"	" 203070.89453125"
"-7580210522494062594"	"RSAN_039536.P42481"	"15869.26251049751"	" 39299.911458333336"	"Peak Found"	" High"	"0.581"	"-0.78"	"15869.26251049751"	" 39299.911458333336"
"-7543963962841971242"	"RSAN_054235.P61680"	"151801.48289536405"	" 128464.36458333333"	"High"	" High"	"0.918"	"-0.12"	"151801.48289536405"	" 128464.36458333333"
"-7480636962980545059"	"RSAN_053730.P61061"	"854986.6729528448"	" 326437.0364583333"	"High"	" High"	"1.108"	"0.15"	"854986.6729528448"	" 326437.0364583333"
"-7479442399663165637"	"P02769"	"109196.9669507002"	" 120227.84244791667"	"High"	" High"	"0.920"	"-0.12"	"109196.9669507002"	" 120227.84244791667"
"-7476451812220392215"	"RSAN_042911.P46823"	"135233.75175494782"	" 130412.25651041667"	"High"	" High"	"1.034"	"0.05"	"135233.75175494782"	" 130412.25651041667"
"-7460735254240799728"	"RSAN_032023.P32616"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-7449637599586402052"	"RSAN_027174.P26449"	"185159.41338174324"	" 70412.341796875"	"Peak Found"	" High"	"2.630"	"1.39"	"185159.41338174324"	" 70412.341796875"
"-7440705242788130567"	"RSAN_052941.P60017"	"10135975.9917774"	" 17141399.59375"	"High"	" High"	"0.978"	"-0.03"	"10135975.9917774"	" 17141399.59375"
"-7382191320128026574"	"RSAN_035992.P37889"	"830697.5885139792"	" 329088.44140625"	"High"	" High"	"1.861"	"0.90"	"830697.5885139792"	" 329088.44140625"
"-7291317772595544209"	"RSAN_052163.P58978"	"45035.01580897897"	" 53202.76171875"	"Peak Found"	" High"	"1.087"	"0.12"	"45035.01580897897"	" 53202.76171875"
"-7274173012447808747"	"RSAN_041341.P44779"	"792955.8801997891"	" 937658.3776041666"	"High"	" High"	"0.942"	"-0.09"	"792955.8801997891"	" 937658.3776041666"
"-7245227200781239807"	"RSAN_048875.P54630"	"81841.68195777462"	" 110330.47135416667"	"Peak Found"	" High"	"0.869"	"-0.20"	"81841.68195777462"	" 110330.47135416667"
"-7194713257433983694"	"RSAN_057067.P65514"	"719065.7327473664"	" 548621.37890625"	"Peak Found"	" High"	"1.055"	"0.08"	"719065.7327473664"	" 548621.37890625"
"-7191673777189669183"	"RSAN_031379.P31712"	"62300.79545365695"	" 53407.279947916664"	"High"	" High"	"1.183"	"0.24"	"62300.79545365695"	" 53407.279947916664"
"-7177394313701743300"	"RSAN_039991.P43048"	"183365.62270325253"	" 259076.0546875"	"High"	" Peak Found"	"0.778"	"-0.36"	"183365.62270325253"	" 259076.0546875"
"-7129187415570930201"	"RSAN_056592.P64888"	"56243.331342067606"	" 76487.62890625"	"Peak Found"	" High"	"0.681"	"-0.56"	"56243.331342067606"	" 76487.62890625"
"-7117990803253330579"	"RSAN_047861.P53285"	"129585.95781208995"	" 194861.71614583334"	"High"	" High"	"0.805"	"-0.31"	"129585.95781208995"	" 194861.71614583334"
"-7108566961051631778"	"RSAN_035038.P36544"	"107881.83262984383"	" 75282.234375"	"Peak Found"	" High"	"1.462"	"0.55"	"107881.83262984383"	" 75282.234375"
"-7078687318933608125"	"RSAN_051999.P58762"	"70720.64023608268"	" 56024.1962890625"	"High"	" High"	"1.188"	"0.25"	"70720.64023608268"	" 56024.1962890625"
"-7057642348640183550"	"P02768"	"374116.38439531013"	" 461846.6041666667"	"High"	" High"	"0.909"	"-0.14"	"374116.38439531013"	" 461846.6041666667"
"-7017803332467377744"	"RSAN_035882.P37744"	"850075.7307867367"	" 326824.9869791667"	"High"	" High"	"0.836"	"-0.26"	"850075.7307867367"	" 326824.9869791667"
"-7012002508802322850"	"RSAN_054420.P61963"	"769607.0155860356"	" 566588.265625"	"High"	" High"	"1.358"	"0.44"	"769607.0155860356"	" 566588.265625"
"-7004165726913732626"	"RSAN_038222.P40824"	"124656.61569822574"	" 203070.89453125"	"Peak Found"	" High"	"0.893"	"-0.16"	"124656.61569822574"	" 203070.89453125"
"-6988843883363172431"	"RSAN_043685.P47814"	"192287.8108585096"	" 241065.99869791666"	"High"	" High"	"0.820"	"-0.29"	"192287.8108585096"	" 241065.99869791666"
"-6971259274870499205"	"RSAN_050259.P56495"	"99056.31713878956"	" 80900.953125"	"Peak Found"	" High"	"1.224"	"0.29"	"99056.31713878956"	" 80900.953125"
"-6959026283931286052"	"RSAN_037860.P40351"	"4327974.028624696"	" 3441048.6803385415"	"High"	" Peak Found"	"0.938"	"-0.09"	"4327974.028624696"	" 3441048.6803385415"
"-6951691574186836144"	"RSAN_042201.P45903"	"2014176.113037776"	" 2716278.62890625"	"High"	" High"	"0.935"	"-0.10"	"2014176.113037776"	" 2716278.62890625"
"-6940666292733488722"	"RSAN_040742.P43934"	"75991.3645941777"	" 78065.74153645833"	"High"	" High"	"1.032"	"0.05"	"75991.3645941777"	" 78065.74153645833"
"-6919579864255989836"	"RSAN_056069.P64165"	"1557416.4926392215"	" 701017.8548177084"	"High"	" High"	"1.003"	"0.00"	"1557416.4926392215"	" 701017.8548177084"
"-6883949477402151877"	"RSAN_037118.P39392"	"1906256.7073645089"	" 2547525.8997395835"	"High"	" High"	"0.766"	"-0.39"	"1906256.7073645089"	" 2547525.8997395835"
"-6875336638962580893"	"RSAN_042636.P46467"	"114625.07699300218"	" 123388.9296875"	"Peak Found"	" High"	"0.929"	"-0.11"	"114625.07699300218"	" 123388.9296875"
"-6872884302230133244"	"RSAN_033952.P35150"	"33697.85298845448"	" 49268.99609375"	"Peak Found"	" High"	"0.699"	"-0.52"	"33697.85298845448"	" 49268.99609375"
"-6854446908035385868"	"RSAN_039655.P42636"	"2928463.9182911473"	" 4834305.127604167"	"High"	" High"	"0.898"	"-0.16"	"2928463.9182911473"	" 4834305.127604167"
"-6850992399343037464"	"RSAN_032023.P32615"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-6822588321970102022"	"RSAN_033024.P33960"	"821613.813417945"	" "	"High"	" n/a"	"100.000"	"6.64"	"821613.813417945"	" "
"-6790772490662332789"	"RSAN_044090.P48336"	"340773.81086321315"	" 353657.15625"	"High"	" High"	"0.953"	"-0.07"	"340773.81086321315"	" 353657.15625"
"-6775762707909237280"	"RSAN_043810.P47985"	"183891.65503630703"	" 114004.6484375"	"Peak Found"	" High"	"0.968"	"-0.05"	"183891.65503630703"	" 114004.6484375"
"-6767735043307473231"	"RSAN_050657.P56999"	"157541.94858355206"	" 153292.513671875"	"High"	" High"	"1.118"	"0.16"	"157541.94858355206"	" 153292.513671875"
"-6715789138037643110"	"RSAN_034864.P36335"	"81592.04368138142"	" 66382.75260416667"	"High"	" High"	"1.514"	"0.60"	"81592.04368138142"	" 66382.75260416667"
"-6707285978493855633"	"RSAN_048071.P53577"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-6679493918238712401"	"RSAN_042435.P46218"	"2980298.6552162473"	" 4254693.3125"	"High"	" High"	"1.001"	"0.00"	"2980298.6552162473"	" 4254693.3125"
"-6669797338484731576"	"RSAN_048922.P54707"	"258570.42016501032"	" 243702.80078125"	"Peak Found"	" High"	"1.095"	"0.13"	"258570.42016501032"	" 243702.80078125"
"-6666653236963998729"	"RSAN_036087.P38005"	"40036.40304613162"	" 59263.3837890625"	"Peak Found"	" High"	"0.927"	"-0.11"	"40036.40304613162"	" 59263.3837890625"
"-6659475541458986291"	"RSAN_045499.P50184"	"1356765.4095437888"	" 886205.8125"	"High"	" High"	"1.282"	"0.36"	"1356765.4095437888"	" 886205.8125"
"-6644047159562697236"	"RSAN_051609.P58258"	"315217.23649252555"	" 804364.5091145834"	"High"	" High"	"1.016"	"0.02"	"315217.23649252555"	" 804364.5091145834"
"-6619363961904180362"	"RSAN_053282.P60445"	"388841.96761610266"	" 451934.2447916667"	"High"	" High"	"1.000"	"0.00"	"388841.96761610266"	" 451934.2447916667"
"-6605193621902288169"	"P35908"	"15709886.360398835"	" 11457461.201822916"	"High"	" High"	"1.506"	"0.59"	"15709886.360398835"	" 11457461.201822916"
"-6604642684289632544"	"RSAN_048922.P54711"	"258570.42016501032"	" 243702.80078125"	"Peak Found"	" High"	"1.095"	"0.13"	"258570.42016501032"	" 243702.80078125"
"-6527970318141987132"	"RSAN_032023.P32617"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-6460821621671165926"	"RSAN_042552.P46372"	"204060.94449190516"	" 203649.47395833334"	"High"	" High"	"0.951"	"-0.07"	"204060.94449190516"	" 203649.47395833334"
"-6410904161512863848"	"RSAN_049466.P55472"	"8314355.660718878"	" 3351830.015625"	"High"	" High"	"0.954"	"-0.07"	"8314355.660718878"	" 3351830.015625"
